,normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,clean_title,color,pack_size,limited_edition,speed
101,"yonex graphite badminton racquet astrox lite 27i (g4 , 77 grams , 30 lbs tension , blue)",2431.0,2431.0,,,,,yonex graphite badminton racquet astrox lite 27i,blue,,No,
102,"yonex graphite badminton racquet astrox lite 27i (g4 , 77 grams , 30 lbs tension , blue)",1819.0,2999.0,,,,,yonex graphite badminton racquet astrox lite 27i,blue,,No,
103,"yonex gr 303 aluminium blend badminton racquet with full cover, set of 2",1285.0,1500.0,,,,,"yonex gr 303 aluminium blend badminton racquet with full cover, set of 2",,,No,
104,"yonex gr 303 aluminium blend badminton racquet with full cover, set of 2",979.0,979.0,,,,,"yonex gr 303 aluminium blend badminton racquet with full cover, set of 2",,,No,
105,"yonex carbon fibre, graphite muscle power 29 light 2020 model slim shaft badminton racquet (dark grey)",2684.0,4390.0,,,,,"yonex carbon fibre, graphite muscle power 29 light 2020 model slim shaft badminton racquet",grey,,No,
106,yonex astrox 88d tour badminton racquet|4u g5|camel gold|power |stiff |r o t a t i o n a l generator system |flex fuse |n amd ▢|head heavy |taiwan|developed in japan,8350.0,11990.0,,,,,yonex astrox 88d tour badminton racquet|4u g5|camel |power |stiff |r o t a t i o n a l generator system |flex fuse |n amd ▢|head heavy |taiwan|developed in japan,gold,,No,
107,yonex voltric z force ii professional badminton racquet with free full cover | tri-voltage system | made in japan,14524.0,17100.0,,,,,yonex voltric z force ii professional badminton racquet with free full cover | tri-voltage system | made in japan,,,No,
108,yonex aracsaber 11 play grayish pearl graphite frame badminton racquet with full cover,3720.0,4310.0,,,,,yonex aracsaber 11 play grayish pearl graphite frame badminton racquet with full cover,,,No,
109,astrox 99 play white tiger strung with full cover,3799.0,5390.0,,,,,astrox 99 play tiger strung with full cover,white,,No,
110,"yonex nanoray light 18i graphite badminton racquet with free full cover (77 grams, 30 lbs tension)",1979.0,1979.0,,,,,yonex nanoray light 18i graphite badminton racquet with free full cover,,,No,
111,"yonex nanoray light 18i graphite badminton racquet with free full cover (77 grams, 30 lbs tension)",1899.0,2990.0,,,,,yonex nanoray light 18i graphite badminton racquet with free full cover,,,No,
112,"yonex nanoray light 18i graphite badminton racquet with free full cover (77 grams, 30 lbs tension)",3958.0,3958.0,,,,,yonex nanoray light 18i graphite badminton racquet with free full cover,,,No,
113,yonex zr 100 light badminton combo (set of 2 yonex zr 100 light badminton racquet with full cover blue/orange + mavis 200i shuttlecock pack of 6),1635.0,,,,,,yonex zr 100 light badminton combo,"blue, orange",pack of 6,No,
114,yonex astrox 99 game strung badminton racquet - cherry sunburst,5464.78,8390.0,,,,,yonex astrox 99 game strung badminton racquet - sunburst,cherry,,No,
115,"yonex ac 7405 e2t rubber badminton grip (multicolour), polyurethane",170.0,,,,,,"yonex ac 7405 e2t rubber badminton grip , polyurethane",,,No,
116,yonex astrox 99 play badminton racquet with full cover (white tiger) material: graphite,3899.0,5390.0,,,,,yonex astrox 99 play badminton racquet with full cover material: graphite,white,,No,
